index	prediction
0	not_entailment
1	not_entailment
2	not_entailment
3	not_entailment
4	not_entailment
5	not_entailment
6	not_entailment
7	not_entailment
8	not_entailment
9	not_entailment
10	not_entailment
11	not_entailment
12	not_entailment
13	not_entailment
14	not_entailment
15	not_entailment
16	not_entailment
17	not_entailment
18	not_entailment
19	not_entailment
20	not_entailment
21	not_entailment
22	not_entailment
23	not_entailment
24	not_entailment
25	not_entailment
26	not_entailment
27	not_entailment
28	not_entailment
29	not_entailment
30	not_entailment
31	not_entailment
32	not_entailment
33	not_entailment
34	not_entailment
35	not_entailment
36	not_entailment
37	not_entailment
38	not_entailment
39	not_entailment
40	not_entailment
41	not_entailment
42	not_entailment
43	not_entailment
44	not_entailment
45	not_entailment
46	not_entailment
47	not_entailment
48	not_entailment
49	not_entailment
50	not_entailment
51	not_entailment
52	not_entailment
53	not_entailment
54	not_entailment
55	not_entailment
56	not_entailment
57	not_entailment
58	not_entailment
59	not_entailment
60	not_entailment
61	not_entailment
62	not_entailment
63	not_entailment
64	not_entailment
65	not_entailment
66	not_entailment
67	not_entailment
68	not_entailment
69	not_entailment
70	not_entailment
71	not_entailment
72	not_entailment
73	not_entailment
74	not_entailment
75	not_entailment
76	not_entailment
77	not_entailment
78	not_entailment
79	not_entailment
80	not_entailment
81	not_entailment
82	not_entailment
83	not_entailment
84	not_entailment
85	not_entailment
86	not_entailment
87	not_entailment
88	not_entailment
89	not_entailment
90	not_entailment
91	not_entailment
92	not_entailment
93	not_entailment
94	not_entailment
95	not_entailment
96	not_entailment
97	not_entailment
98	not_entailment
99	not_entailment
100	not_entailment
101	not_entailment
102	not_entailment
103	not_entailment
104	not_entailment
105	not_entailment
106	not_entailment
107	not_entailment
108	not_entailment
109	not_entailment
110	not_entailment
111	not_entailment
112	not_entailment
113	not_entailment
114	not_entailment
115	not_entailment
116	not_entailment
117	not_entailment
118	not_entailment
119	not_entailment
120	not_entailment
121	not_entailment
122	not_entailment
123	not_entailment
124	not_entailment
125	not_entailment
126	not_entailment
127	not_entailment
128	not_entailment
129	not_entailment
130	not_entailment
131	not_entailment
132	not_entailment
133	not_entailment
134	not_entailment
135	not_entailment
136	not_entailment
137	not_entailment
138	not_entailment
139	not_entailment
140	not_entailment
141	not_entailment
142	not_entailment
143	not_entailment
144	not_entailment
145	not_entailment
