index	prediction
0	entailment
1	entailment
2	entailment
3	entailment
4	entailment
5	entailment
6	entailment
7	entailment
8	entailment
9	entailment
10	entailment
11	entailment
12	entailment
13	entailment
14	entailment
15	entailment
16	entailment
17	entailment
18	entailment
19	entailment
20	entailment
21	entailment
22	entailment
23	entailment
24	entailment
25	entailment
26	entailment
27	entailment
28	entailment
29	entailment
30	entailment
31	entailment
32	entailment
33	entailment
34	entailment
35	entailment
36	entailment
37	entailment
38	entailment
39	entailment
40	entailment
41	entailment
42	entailment
43	entailment
44	entailment
45	entailment
46	entailment
47	entailment
48	entailment
49	entailment
50	entailment
51	entailment
52	entailment
53	entailment
54	entailment
55	entailment
56	entailment
57	entailment
58	entailment
59	entailment
60	entailment
61	entailment
62	entailment
63	entailment
64	entailment
65	entailment
66	entailment
67	entailment
68	entailment
69	entailment
70	entailment
71	entailment
72	entailment
73	entailment
74	entailment
75	entailment
76	entailment
77	entailment
78	entailment
79	entailment
80	entailment
81	entailment
82	entailment
83	entailment
84	entailment
85	entailment
86	entailment
87	entailment
88	entailment
89	entailment
90	entailment
91	entailment
92	entailment
93	entailment
94	entailment
95	entailment
96	entailment
97	entailment
98	entailment
99	entailment
100	entailment
101	entailment
102	entailment
103	entailment
104	entailment
105	entailment
106	entailment
107	entailment
108	entailment
109	entailment
110	entailment
111	entailment
112	entailment
113	entailment
114	entailment
115	entailment
116	entailment
117	entailment
118	entailment
119	entailment
120	entailment
121	entailment
122	entailment
123	entailment
124	entailment
125	entailment
126	entailment
127	entailment
128	entailment
129	entailment
130	entailment
131	entailment
132	entailment
133	entailment
134	entailment
135	entailment
136	entailment
137	entailment
138	entailment
139	entailment
140	entailment
141	entailment
142	entailment
143	entailment
144	entailment
145	entailment
146	entailment
147	entailment
148	entailment
149	entailment
150	entailment
151	entailment
152	entailment
153	entailment
154	entailment
155	entailment
156	entailment
157	entailment
158	entailment
159	entailment
160	entailment
161	entailment
162	entailment
163	entailment
164	entailment
165	entailment
166	entailment
167	entailment
168	entailment
169	entailment
170	entailment
171	entailment
172	entailment
173	entailment
174	entailment
175	entailment
176	entailment
177	entailment
178	entailment
179	entailment
180	entailment
181	entailment
182	entailment
183	entailment
184	entailment
185	entailment
186	entailment
187	entailment
188	entailment
189	entailment
190	entailment
191	entailment
192	entailment
193	entailment
194	entailment
195	entailment
196	entailment
197	entailment
198	entailment
199	entailment
200	entailment
201	entailment
202	entailment
203	entailment
204	entailment
205	entailment
206	entailment
207	entailment
208	entailment
209	entailment
210	entailment
211	entailment
212	entailment
213	entailment
214	entailment
215	entailment
216	entailment
217	entailment
218	entailment
219	entailment
220	entailment
221	entailment
222	entailment
223	entailment
224	entailment
225	entailment
226	entailment
227	entailment
228	entailment
229	entailment
230	entailment
231	entailment
232	entailment
233	entailment
234	entailment
235	entailment
236	entailment
237	entailment
238	entailment
239	entailment
240	entailment
241	entailment
242	entailment
243	entailment
244	entailment
245	entailment
246	entailment
247	entailment
248	entailment
249	entailment
250	entailment
251	entailment
252	entailment
253	entailment
254	entailment
255	entailment
256	entailment
257	entailment
258	entailment
259	entailment
260	entailment
261	entailment
262	entailment
263	entailment
264	entailment
265	entailment
266	entailment
267	entailment
268	entailment
269	entailment
270	entailment
271	entailment
272	entailment
273	entailment
274	entailment
275	entailment
276	entailment
277	entailment
278	entailment
279	entailment
280	entailment
281	entailment
282	entailment
283	entailment
284	entailment
285	entailment
286	entailment
287	entailment
288	entailment
289	entailment
290	entailment
291	entailment
292	entailment
293	entailment
294	entailment
295	entailment
296	entailment
297	entailment
298	entailment
299	entailment
300	entailment
301	entailment
302	entailment
303	entailment
304	entailment
305	entailment
306	entailment
307	entailment
308	entailment
309	entailment
310	entailment
311	entailment
312	entailment
313	entailment
314	entailment
315	entailment
316	entailment
317	entailment
318	entailment
319	entailment
320	entailment
321	entailment
322	entailment
323	entailment
324	entailment
325	entailment
326	entailment
327	entailment
328	entailment
329	entailment
330	entailment
331	entailment
332	entailment
333	entailment
334	entailment
335	entailment
336	entailment
337	entailment
338	entailment
339	entailment
340	entailment
341	entailment
342	entailment
343	entailment
344	entailment
345	entailment
346	entailment
347	entailment
348	entailment
349	entailment
350	entailment
351	entailment
352	entailment
353	entailment
354	entailment
355	entailment
356	entailment
357	entailment
358	entailment
359	entailment
360	entailment
361	entailment
362	entailment
363	entailment
364	entailment
365	entailment
366	entailment
367	entailment
368	entailment
369	entailment
370	entailment
371	entailment
372	entailment
373	entailment
374	entailment
375	entailment
376	entailment
377	entailment
378	entailment
379	entailment
380	entailment
381	entailment
382	entailment
383	entailment
384	entailment
385	entailment
386	entailment
387	entailment
388	entailment
389	entailment
390	entailment
391	entailment
392	entailment
393	entailment
394	entailment
395	entailment
396	entailment
397	entailment
398	entailment
399	entailment
400	entailment
401	entailment
402	entailment
403	entailment
404	entailment
405	entailment
406	entailment
407	entailment
408	entailment
409	entailment
410	entailment
411	entailment
412	entailment
413	entailment
414	entailment
415	entailment
416	entailment
417	entailment
418	entailment
419	entailment
420	entailment
421	entailment
422	entailment
423	entailment
424	entailment
425	entailment
426	entailment
427	entailment
428	entailment
429	entailment
430	entailment
431	entailment
432	entailment
433	entailment
434	entailment
435	entailment
436	entailment
437	entailment
438	entailment
439	entailment
440	entailment
441	entailment
442	entailment
443	entailment
444	entailment
445	entailment
446	entailment
447	entailment
448	entailment
449	entailment
450	entailment
451	entailment
452	entailment
453	entailment
454	entailment
455	entailment
456	entailment
457	entailment
458	entailment
459	entailment
460	entailment
461	entailment
462	entailment
463	entailment
464	entailment
465	entailment
466	entailment
467	entailment
468	entailment
469	entailment
470	entailment
471	entailment
472	entailment
473	entailment
474	entailment
475	entailment
476	entailment
477	entailment
478	entailment
479	entailment
480	entailment
481	entailment
482	entailment
483	entailment
484	entailment
485	entailment
486	entailment
487	entailment
488	entailment
489	entailment
490	entailment
491	entailment
492	entailment
493	entailment
494	entailment
495	entailment
496	entailment
497	entailment
498	entailment
499	entailment
500	entailment
501	entailment
502	entailment
503	entailment
